"Duration","Start date","End date","Start station number","Start station","End station number","End station","Bike number","Member type"
313,"2019-04-01 00:03:03","2019-04-01 00:08:16",31618,"4th & East Capitol St NE",31630,"15th & East Capitol St NE","W24063","Member"
453,"2019-04-01 00:07:37","2019-04-01 00:15:10",31119,"14th & Belmont St NW",31298,"15th & M St NW","W22080","Member"
333,"2019-04-01 00:09:31","2019-04-01 00:15:05",31203,"14th & Rhode Island Ave NW",31519,"1st & O St NW","W00276","Member"
568,"2019-04-01 00:10:20","2019-04-01 00:19:49",31202,"14th & R St NW",31103,"16th & Harvard St NW","W21582","Member"
1609,"2019-04-01 00:10:38","2019-04-01 00:37:28",31517,"Union Market",31655,"New Jersey Ave & F St NW",75558,"Member"
356,"2019-04-01 00:10:45","2019-04-01 00:16:42",31232,"7th & F St NW / National Portrait Gallery",31294,"7th & E St SW","W20136","Member"
244,"2019-04-01 00:11:21","2019-04-01 00:15:26",31200,"Massachusetts Ave & Dupont Circle NW",31298,"15th & M St NW","W21387","Member"
1156,"2019-04-01 00:13:00","2019-04-01 00:32:16",31522,"2nd St & Seaton Pl NE",31406,"14th & Upshur St NW",78364,"Member"
183,"2019-04-01 00:21:22","2019-04-01 00:24:25",31246,"M St & Pennsylvania Ave NW",31275,"New Hampshire Ave & 24th St NW","W00110","Member"
322,"2019-04-01 00:22:51","2019-04-01 00:28:13",31623,"Columbus Circle / Union Station",31647,"7th St & Massachusetts Ave NE","W01396","Member"
1329,"2019-04-01 00:25:26","2019-04-01 00:47:36",31275,"New Hampshire Ave & 24th St NW",31269,"3rd St & Pennsylvania Ave SE","W00110","Member"
745,"2019-04-01 00:26:05","2019-04-01 00:38:31",31624,"North Capitol St & F St NW",31642,"New Jersey Ave & L St NW","W22694","Member"
838,"2019-04-01 00:26:39","2019-04-01 00:40:38",31624,"North Capitol St & F St NW",31241,"Thomas Circle","W20699","Casual"
417,"2019-04-01 00:29:25","2019-04-01 00:36:23",31298,"15th & M St NW",31125,"15th & W St NW","W22080","Member"
406,"2019-04-01 00:37:58","2019-04-01 00:44:44",31223,"Convention Center / 7th & M St NW",31238,"14th & G St NW","W01420","Member"
213,"2019-04-01 00:41:38","2019-04-01 00:45:12",31217,"USDA / 12th & C St SW",31244,"4th & E St SW",78124,"Member"
1399,"2019-04-01 00:53:45","2019-04-01 01:17:04",31624,"North Capitol St & F St NW",31278,"18th & R St NW","W23371","Member"
176,"2019-04-01 00:54:05","2019-04-01 00:57:01",31701,"Branch & Pennsylvania Ave SE",31706,"Fairfax Village",78154,"Member"
592,"2019-04-01 00:55:13","2019-04-01 01:05:06",31255,"24th & N St NW",31265,"5th St & Massachusetts Ave NW","W22455","Member"
380,"2019-04-01 00:58:43","2019-04-01 01:05:03",31200,"Massachusetts Ave & Dupont Circle NW",31101,"14th & V St NW","W21642","Member"
1362,"2019-04-01 01:00:51","2019-04-01 01:23:33",31609,"Maine Ave & 7th St SW",31278,"18th & R St NW","W23319","Member"
581,"2019-04-01 01:04:59","2019-04-01 01:14:41",31637,"North Capitol St & G Pl NE",31281,"8th & O St NW","W23998","Member"
460,"2019-04-01 01:09:37","2019-04-01 01:17:17",31239,"Rhode Island & Connecticut Ave NW",31600,"5th & K St NW",78058,"Member"
436,"2019-04-01 01:17:14","2019-04-01 01:24:31",31245,"7th & R St NW / Shaw Library",31627,"3rd & M St NE","W22245","Member"
44875,"2019-04-01 01:20:26","2019-04-01 13:48:21",31212,"21st & M St NW",31255,"24th & N St NW","W21361","Member"
44848,"2019-04-01 01:20:55","2019-04-01 13:48:23",31212,"21st & M St NW",31255,"24th & N St NW","W20219","Member"
419,"2019-04-01 01:23:01","2019-04-01 01:30:00",31110,"20th St & Florida Ave NW",31275,"New Hampshire Ave & 24th St NW","W20426","Member"
128,"2019-04-01 01:27:46","2019-04-01 01:29:54",31228,"8th & H St NW",31653,"7th & K St NW","W20376","Member"
1409,"2019-04-01 01:30:57","2019-04-01 01:54:27",31275,"New Hampshire Ave & 24th St NW",31096,"Walter Reed Dr & 8th St S",78167,"Member"
590,"2019-04-01 01:33:01","2019-04-01 01:42:51",31502,"John McCormack Dr & Michigan Ave NE",31510,"18th St & Rhode Island Ave NE","W23730","Member"
464,"2019-04-01 01:47:14","2019-04-01 01:54:58",31283,"14th & L St NW",31278,"18th & R St NW","W20882","Member"
582,"2019-04-01 01:55:31","2019-04-01 02:05:13",31096,"Walter Reed Dr & 8th St S",31923,"Columbia Pike & S Taylor St",75492,"Member"
690,"2019-04-01 02:04:34","2019-04-01 02:16:05",31623,"Columbus Circle / Union Station",31628,"1st & K St SE","W21839","Member"
176,"2019-04-01 02:06:02","2019-04-01 02:08:59",31923,"Columbia Pike & S Taylor St",31068,"Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St","W00384","Member"
533,"2019-04-01 02:06:40","2019-04-01 02:15:34",31246,"M St & Pennsylvania Ave NW",31014,"Lynn St & 19th St North","W24013","Member"
798,"2019-04-01 02:24:41","2019-04-01 02:37:59",31291,"Vermont Ave & I St NW",31275,"New Hampshire Ave & 24th St NW","W22377","Member"
1276,"2019-04-01 03:02:44","2019-04-01 03:24:01",31659,"11th & C St SE",31233,"17th & K St NW / Farragut Square",78174,"Member"
128,"2019-04-01 03:28:57","2019-04-01 03:31:06",31254,"15th & K St NW",31283,"14th & L St NW","W23215","Member"
1247,"2019-04-01 04:06:22","2019-04-01 04:27:09",31251,"12th & L St NW",31648,"Potomac Ave & Half St SW","W20243","Member"
397,"2019-04-01 04:09:46","2019-04-01 04:16:24",31632,"15th & F St NE",31623,"Columbus Circle / Union Station","W23029","Member"
246,"2019-04-01 04:14:05","2019-04-01 04:18:12",31084,"Ballenger Ave & Dulaney St",31044,"King St & Patrick St",75448,"Member"
245,"2019-04-01 04:30:02","2019-04-01 04:34:07",31296,"Columbia & Ontario Rd NW",31200,"Massachusetts Ave & Dupont Circle NW","W23744","Member"
177,"2019-04-01 04:30:06","2019-04-01 04:33:03",31214,"17th & Corcoran St NW",31200,"Massachusetts Ave & Dupont Circle NW","W23292","Member"
